keyword,type,theme,app_name,category,in_title,in_short,in_long,in_tags,reach,table_stakes
finance,unigram,Account & Finance,Wells Fargo Mobile®,Traditional Bank,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,YouHodler: BTC & Crypto Wallet,Centralized Exchange (CEX),0,0,1,1,61,TRUE
finance,unigram,Account & Finance,ZebPay: Bitcoin & Crypto App,Other / Hybrid,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,Zengo: Crypto & Bitcoin Wallet,Other / Hybrid,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,thinkorswim Mobile: Trading,Brokerage / Wealth Management,0,0,0,1,61,TRUE
crypto,unigram,Asset Coverage,BTCC - Trade Bitcoin & Crypto,Centralized Exchange (CEX),1,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,Base: formerly Coinbase Wallet,Other / Hybrid,0,0,1,0,51,TRUE
crypto,unigram,Asset Coverage,Binance: Buy Bitcoin & Crypto,Centralized Exchange (CEX),1,0,1,0,51,TRUE
crypto,unigram,Asset Coverage,Bitcoin Wallet Crypto Ethereum,Other / Hybrid,1,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,"Bitcoin.com Wallet: Buy, Sell",Other / Hybrid,0,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,Bitget - Buy & Sell Crypto,Centralized Exchange (CEX),1,0,1,0,51,TRUE
crypto,unigram,Asset Coverage,"Bitget Wallet: Crypto, Bitcoin",DeFi / DEX Wallet,1,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,Blockchain Wallet: Buy BTC,Centralized Exchange (CEX),0,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,"Bridge Wallet: Bitcoin, crypto",Other / Hybrid,1,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,Bybit: Buy Bitcoin & Crypto,Centralized Exchange (CEX),1,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,Coin Wallet - Bitcoin & Crypto,Other / Hybrid,1,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,CoinGecko: Crypto Tracker,Other / Hybrid,1,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,Coinbase: Buy Crypto & Stocks,Other / Hybrid,1,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,Coinomi: Crypto Bitcoin Wallet,Other / Hybrid,1,0,1,0,51,TRUE
crypto,unigram,Asset Coverage,Crypto & Bitcoin Wallet Paybis,Other / Hybrid,1,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,Crypto Exchange: Buy BTC・USDT,Centralized Exchange (CEX),1,0,1,0,51,TRUE
crypto,unigram,Asset Coverage,"Crypto exchange: USDT, Bitcoin",Self-Custody Wallet,1,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,Crypto.com Exchange,Other / Hybrid,1,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,"Crypto.com: Buy BTC, ETH & CRO",Other / Hybrid,1,0,1,0,51,TRUE
crypto,unigram,Asset Coverage,Crypto.com: Onchain Wallet,Self-Custody Wallet,1,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,Cwallet - Secure Crypto Wallet,DeFi / DEX Wallet,1,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,Edge - Bitcoin & Crypto Wallet,Self-Custody Wallet,1,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,Enjin: Crypto & NFT Wallet,Other / Hybrid,1,0,1,0,51,TRUE
crypto,unigram,Asset Coverage,Exodus: Crypto Bitcoin Wallet,Other / Hybrid,1,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,Fidelity Investments,Brokerage / Wealth Management,0,0,1,0,51,TRUE
crypto,unigram,Asset Coverage,Gemini Markets & Credit Card,Other / Hybrid,0,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,Guarda: Crypto Bitcoin Wallet,Centralized Exchange (CEX),1,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,Kraken Wallet: Crypto & NFT,Self-Custody Wallet,1,0,1,0,51,TRUE
crypto,unigram,Asset Coverage,Kraken: Buy Stocks & Crypto,Other / Hybrid,1,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,Ledger Wallet™ crypto app,DeFi / DEX Wallet,1,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,MEW crypto wallet: DeFi Web3,Other / Hybrid,1,0,1,0,51,TRUE
crypto,unigram,Asset Coverage,MEXC: Buy Bitcoin BTC & Crypto,Centralized Exchange (CEX),1,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,MetaMask: Trade Crypto,Other / Hybrid,1,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,MoonPay: Buy Crypto & Bitcoin,Other / Hybrid,1,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,MyTonWallet • TON Wallet,Other / Hybrid,0,0,1,0,51,TRUE
crypto,unigram,Asset Coverage,NC Wallet: Crypto Without Fees,Other / Hybrid,1,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,Noone Crypto Wallet,DeFi / DEX Wallet,1,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,OKX: Buy Bitcoin BTC & Crypto,Other / Hybrid,1,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,OneKey: Crypto DeFi Wallet,Other / Hybrid,1,0,1,0,51,TRUE
crypto,unigram,Asset Coverage,Phantom,Other / Hybrid,0,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,Proton Wallet: Secure Bitcoin,Other / Hybrid,0,0,1,0,51,TRUE
crypto,unigram,Asset Coverage,Rabby Wallet - Crypto & EVM,DeFi / DEX Wallet,1,1,0,0,51,TRUE
crypto,unigram,Asset Coverage,Robinhood Wallet: Swap Crypto,DeFi / DEX Wallet,1,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,SafePal: Crypto Wallet BTC NFT,Other / Hybrid,1,0,1,0,51,TRUE
crypto,unigram,Asset Coverage,Solflare - Solana Wallet,DeFi / DEX Wallet,0,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,Speed Wallet - Buy Bitcoin,Other / Hybrid,0,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,Trust: Crypto & Bitcoin Wallet,Self-Custody Wallet,1,0,1,0,51,TRUE
crypto,unigram,Asset Coverage,Uniswap: Crypto & NFT Wallet,Other / Hybrid,1,0,1,0,51,TRUE
crypto,unigram,Asset Coverage,YouHodler: BTC & Crypto Wallet,Centralized Exchange (CEX),1,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,ZebPay: Bitcoin & Crypto App,Other / Hybrid,1,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,Zengo: Crypto & Bitcoin Wallet,Other / Hybrid,1,1,1,0,51,TRUE
bitcoin,unigram,Asset Coverage,BTCC - Trade Bitcoin & Crypto,Centralized Exchange (CEX),1,0,1,0,47,TRUE
bitcoin,unigram,Asset Coverage,Base: formerly Coinbase Wallet,Other / Hybrid,0,0,1,0,47,TRUE
bitcoin,unigram,Asset Coverage,Binance: Buy Bitcoin & Crypto,Centralized Exchange (CEX),1,0,1,0,47,TRUE
bitcoin,unigram,Asset Coverage,Bitcoin Wallet Crypto Ethereum,Other / Hybrid,1,1,1,0,47,TRUE
bitcoin,unigram,Asset Coverage,"Bitcoin.com Wallet: Buy, Sell",Other / Hybrid,1,1,1,0,47,TRUE
bitcoin,unigram,Asset Coverage,Bitget - Buy & Sell Crypto,Centralized Exchange (CEX),0,0,1,0,47,TRUE
bitcoin,unigram,Asset Coverage,"Bitget Wallet: Crypto, Bitcoin",DeFi / DEX Wallet,1,0,0,0,47,TRUE
bitcoin,unigram,Asset Coverage,Blockchain Wallet: Buy BTC,Centralized Exchange (CEX),0,1,1,0,47,TRUE
bitcoin,unigram,Asset Coverage,BlueWallet Bitcoin Wallet,Other / Hybrid,1,1,1,0,47,TRUE
bitcoin,unigram,Asset Coverage,"Bridge Wallet: Bitcoin, crypto",Other / Hybrid,1,0,1,0,47,TRUE
bitcoin,unigram,Asset Coverage,Bybit: Buy Bitcoin & Crypto,Centralized Exchange (CEX),1,1,1,0,47,TRUE
bitcoin,unigram,Asset Coverage,Coin Wallet - Bitcoin & Crypto,Other / Hybrid,1,1,1,0,47,TRUE
bitcoin,unigram,Asset Coverage,CoinGecko: Crypto Tracker,Other / Hybrid,0,1,1,0,47,TRUE
bitcoin,unigram,Asset Coverage,Coinbase: Buy Crypto & Stocks,Other / Hybrid,0,0,1,0,47,TRUE
bitcoin,unigram,Asset Coverage,Coinomi: Crypto Bitcoin Wallet,Other / Hybrid,1,1,1,0,47,TRUE
bitcoin,unigram,Asset Coverage,Crypto & Bitcoin Wallet Paybis,Other / Hybrid,1,1,1,0,47,TRUE
bitcoin,unigram,Asset Coverage,Crypto Exchange: Buy BTC・USDT,Centralized Exchange (CEX),0,1,1,0,47,TRUE
bitcoin,unigram,Asset Coverage,"Crypto exchange: USDT, Bitcoin",Self-Custody Wallet,1,0,1,0,47,TRUE
bitcoin,unigram,Asset Coverage,Crypto.com Exchange,Other / Hybrid,0,1,1,0,47,TRUE
bitcoin,unigram,Asset Coverage,"Crypto.com: Buy BTC, ETH & CRO",Other / Hybrid,0,1,1,0,47,TRUE
bitcoin,unigram,Asset Coverage,Crypto.com: Onchain Wallet,Self-Custody Wallet,0,0,1,0,47,TRUE
bitcoin,unigram,Asset Coverage,Cwallet - Secure Crypto Wallet,DeFi / DEX Wallet,0,0,1,0,47,TRUE
bitcoin,unigram,Asset Coverage,Edge - Bitcoin & Crypto Wallet,Self-Custody Wallet,1,0,1,0,47,TRUE
bitcoin,unigram,Asset Coverage,Enjin: Crypto & NFT Wallet,Other / Hybrid,0,0,1,0,47,TRUE
bitcoin,unigram,Asset Coverage,Exodus: Crypto Bitcoin Wallet,Other / Hybrid,1,0,1,0,47,TRUE
bitcoin,unigram,Asset Coverage,Fidelity Investments,Brokerage / Wealth Management,0,0,1,0,47,TRUE
